Cluster    Screenshots  Classification
====================================================================================================
354        333          Fearful or suspenseful women's faces and eyes dramatically obscured or revealed by darkness and shadow.
297        309          Intimate bedroom scenes of couples in close physical embrace or repose, typically under soft or dim lighting.
294        290          Tense, dimly lit indoor dialogues between two individuals.
30         186          Movie credit sequences featuring high-contrast text against simple, often dark or solid-colored backgrounds.
264        154          Suspenseful nocturnal scenes featuring solitary vehicles navigating or parked on dark, desolate, or forested roads, often with headlights piercing the pervasive shadows.
247        118          Scenes of men engaged in tense and urgent phone calls within dimly lit, suspenseful indoor settings.
262        117          Tense, dimly lit nocturnal conversations between a man and a woman inside a car.
309        116          Vulnerable women sleeping in dimly lit, suspenseful settings.
215        106          Tense and intimate dialogues or confrontations among women in private indoor settings.
289        101          Contemplative and investigative office scenes.
270        100          Eerie nocturnal scenes set in dense, dark forests, featuring shadowy figures and an atmosphere of hidden dangers.
347        100          Ominous encounters with shadowy figures at dimly lit doorways.
323        98           Professional or investigative office meetings among men engaged in serious or tense discussions.
358        97           Suspenseful scenes of women cautiously engaging with dark or shadowy doorways.
306        96           Close-up shots of a hand gripping a knife in darkness, establishing intense suspense and the imminent threat of violence.
274        95           Dark, suspenseful scenes of an unidentifiable figure emerging from profound obscurity.
146        86           Tense domestic interactions or conversations in a kitchen setting.
205        83           Tense outdoor discussions between two men, frequently set in lush natural environments or against rustic stone backdrops.
350        76           Suspenseful scenes depicting women fearfully traversing dimly lit staircases and hallways, marked by pervasive shadows creating an eerie and foreboding atmosphere.
292        72           Scenes of intimate embraces and kisses between a man and a woman, often portrayed in atmospheric low light or dramatic color.
208        68           Contemplative formally-dressed men isolated within serene yet mysterious natural outdoor environments.
197        66           Dimly lit scenes of vulnerable men in bed.
321        65           Shadowy figures navigating dimly lit, suspenseful staircases.
371        64           Giallo scenes of a woman being stalked by a masked, knife-wielding figure in a shadowy corridor.
137        61           Scientific investigation and discussion in laboratory settings.
332        60           Pivotal, tense discussions or confrontations between formally dressed men in private settings.
80         59           Courtroom trial proceedings with judges, lawyers, and juries.
298        57           Intimate scenes depicting vulnerable women at rest or asleep in dimly lit beds.
